Fund Code,Date,Cash Flow,Expenses,ROC,Dist. Sub. To Recall,Income,Growth,Book,NAV,Commitment,Qtr Valuation,Notes,Type
RVVC022014M2,6/16/15,-150000,,,,, $-   ,150000,150000,-150000,,,Contribution
RVVC022014M2,6/30/15,,,,,,28058, $-   ,28058, $-   ,832934,,NAV
RVVC022014M2,7/16/15,-120000,,,,, $-   ,120000,120000,-120000,,,Contribution
RVVC022014M2,9/22/15,-120000,,,,, $-   ,120000,120000,-120000,,,Contribution
RVVC022014M2,9/30/15,,,,,,36043, $-   ,36043, $-   ,1108978,,NAV
RVVC022014M2,12/8/15,-105000,,,,, $-   ,105000,105000,-105000,,,Contribution
RVVC022014M2,12/31/15,,,,,,-696, $-   ,-696, $-   ,1213282,,NAV
RVVC022014M2,3/31/16,,,,,,46217, $-   ,46217, $-   ,1259499,,NAV
RVVC022014M2,4/4/16,-60000,,,,, $-   ,60000,60000,-60000,,,Contribution
RVVC022014M2,6/30/16,,,,,,-34270, $-   ,-34270, $-   ,1285229,,NAV
RVVC022014M2,7/20/16,-60000,,,,, $-   ,60000,60000,-60000,,,Contribution
RVVC022014M2,9/30/16,,,,,,127752, $-   ,127752, $-   ,1472981,,NAV
RVVC022014M2,12/31/16,,,,,,52219, $-   ,52219, $-   ,1525200,,NAV
RVVC022014M2,3/23/17,33389,,,,, $-   ,-33389,-33389, $-   ,,,Distribution
RVVC022014M2,3/31/17,,,,,,42414, $-   ,42414, $-   ,1534225,,NAV
RVVC022014M2,6/30/17,,,,,,257333, $-   ,257333, $-   ,1791558,,NAV
RVVC022014M2,7/24/17,-30000,,,,, $-   ,30000,30000,-30000,,,Contribution
RVVC022014M2,9/30/17,,,,,,9125, $-   ,9125, $-   ,1830682,,NAV
RVVC022014M2,11/27/17,-45000,,,,, $-   ,45000,45000,-45000,,,Contribution
RVVC022014M2,12/31/17,,,,,,-35631, $-   ,-35631, $-   ,1840051,,NAV
RVVC022014M2,3/31/18,,,,,,39314, $-   ,39314, $-   ,1879365,,NAV
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
RVVC022014MI,7/1/14, $-   ,,,,, $-   ,,,500000,,,
RVVC022014MI,7/7/14,-85000,,,,, $-   ,85000,85000,-85000,,,
RVVC022014MI,9/30/14,,,,,,-3509, $-   ,-3509, $-   ,81491,,
RVVC022014MI,12/1/14,-60000,,,,, $-   ,60000,60000,-60000,,,
RVVC022014MI,12/31/14,,,,,,-5911, $-   ,-5911, $-   ,135581,,
RVVC022014MI,2/18/15,-60000,,,,, $-   ,60000,60000,-60000,,,
RVVC022014MI,3/31/15,,,,,,-7289, $-   ,-7289, $-   ,188292,,
RVVC022014MI,4/15/15,-30000,,,,, $-   ,30000,30000,-30000,,,
RVVC022014MI,6/16/15,-50000,,,,, $-   ,50000,50000,-50000,,,
RVVC022014MI,6/30/15,,,,,,9353, $-   ,9353, $-   ,277645,,
RVVC022014MI,7/16/15,-40000,,,,, $-   ,40000,40000,-40000,,,
RVVC022014MI,9/22/15,-40000,,,,, $-   ,40000,40000,-40000,,,
RVVC022014MI,9/30/15,,,,,,12014, $-   ,12014, $-   ,369659,,
RVVC022014MI,12/8/15,-35000,,,,, $-   ,35000,35000,-35000,,,
RVVC022014MI,12/31/15,,,,,,-232, $-   ,-232, $-   ,404427,,
RVVC022014MI,3/31/16,,,,,,15406, $-   ,15406, $-   ,419833,,
RVVC022014MI,4/4/16,-20000,,,,, $-   ,20000,20000,-20000,,,
RVVC022014MI,6/30/16,,,,,,-11423, $-   ,-11423, $-   ,428409,,
RVVC022014MI,7/20/16,-20000,,,,, $-   ,20000,20000,-20000,,,
RVVC022014MI,9/30/16,,,,,,42584, $-   ,42584, $-   ,490994,,
RVVC022014MI,12/31/16,,,,,,17406, $-   ,17406, $-   ,508400,,
RVVC022014MI,3/23/17,11130,,,,, $-   ,-11130,-11130, $-   ,,,
RVVC022014MI,3/31/17,,,,,,14138, $-   ,14138, $-   ,511408,,
RVVC022014MI,6/30/17,,,,,,85778, $-   ,85778, $-   ,597186,,
RVVC022014MI,7/24/17,-10000,,,,, $-   ,10000,10000,-10000,,,
RVVC022014MI,9/30/17,,,,,,3042, $-   ,3042, $-   ,610227,,
RVVC022014MI,11/27/17,-15000,,,,, $-   ,15000,15000,-15000,,,
RVVC022014FH,7/1/14, $-   ,,,,, $-   ,,,3000000,,,
RVVC022014FH,7/7/14,-510000,,,,, $-   ,510000,510000,-510000,,,
RVVC022014FH,9/30/14,,,,,,-21052, $-   ,-21052, $-   ,488948,,
RVVC022014FH,12/1/14,-360000,,,,, $-   ,360000,360000,-360000,,,
RVVC022014FH,12/31/14,,,,,,-35464, $-   ,-35464, $-   ,813484,,
RVVC022014FH,2/18/15,-360000,,,,, $-   ,360000,360000,-360000,,,
RVVC022014FH,3/31/15,,,,,,-43731, $-   ,-43731, $-   ,1129753,,
RVVC022014FH,4/15/15,-180000,,,,, $-   ,180000,180000,-180000,,,
RVVC022014FH,6/16/15,-300000,,,,, $-   ,300000,300000,-300000,,,
RVVC022014FH,6/30/15,,,,,,56116, $-   ,56116, $-   ,1665869,,
RVVC022014FH,7/16/15,-240000,,,,, $-   ,240000,240000,-240000,,,
RVVC022014FH,9/22/15,-240000,,,,, $-   ,240000,240000,-240000,,,
RVVC022014FH,9/30/15,,,,,,72087, $-   ,72087, $-   ,2217956,,
RVVC022014FH,12/8/15,-210000,,,,, $-   ,210000,210000,-210000,,,
RVVC022014FH,12/31/15,,,,,,-1392, $-   ,-1392, $-   ,2426563,,
RVVC022014FH,3/31/16,,,,,,92434, $-   ,92434, $-   ,2518997,,
RVVC022014FH,4/4/16,-120000,,,,, $-   ,120000,120000,-120000,,,
RVVC022014FH,6/30/16,,,,,,-68540, $-   ,-68540, $-   ,2570457,,
RVVC022014FH,7/20/16,-120000,,,,, $-   ,120000,120000,-120000,,,
RVVC022014FH,9/30/16,,,,,,255504, $-   ,255504, $-   ,2945961,,
RVVC022014FH,12/31/16,,,,,,104438, $-   ,104438, $-   ,3050399,,
RVVC022014FH,3/23/17,66778,,,,, $-   ,-66778,-66778, $-   ,,,
RVVC022014FH,3/31/17,,,,,,84828, $-   ,84828, $-   ,3068450,,
RVVC022014FH,6/30/17,,,,,,514665, $-   ,514665, $-   ,3583115,,
RVVC022014FH,7/24/17,-60000,,,,, $-   ,60000,60000,-60000,,,
RVVC022014FH,9/30/17,,,,,,18249, $-   ,18249, $-   ,3661364,,
RVVC022014FH,11/27/17,-90000,,,,, $-   ,90000,90000,-90000,,,
RVVC032016FH,12/1/16, $-   ,,,,, $-   ,,,2500000,,,
RVVC032016FH,12/27/16,-450000,,,,, $-   ,450000,450000,-450000,,,
RVVC032016FH,12/31/16,,,,,,-64198, $-   ,-64198, $-   ,385802,,
RVVC032016FH,3/16/17,-150000,,,,, $-   ,150000,150000,-150000,,,
RVVC032016FH,3/31/17,,,,,,-15455, $-   ,-15455, $-   ,520347,,
RVVC032016FH,6/30/17,,,,,,-17430, $-   ,-17430, $-   ,502917,,
RVVC032016FH,7/24/17,-150000,,,,, $-   ,150000,150000,-150000,,,
RVVC032016FH,9/30/17,,,,,,132834, $-   ,132834, $-   ,785751,,
RVVC032016FH,10/20/17,-275000,,,,, $-   ,275000,275000,-275000,,,
RVVC032016FH,2/2/18,-175000,,,,, $-   ,175000,175000,-175000,,,
RVCOBB2014FH,6/1/14, $-   ,,,,, $-   ,,,500000,,,
RVCOBB2014FH,6/24/14,-500000,,,,, $-   ,500000,500000,-500000,,,
RVCOBB2014FH,12/31/14,,,,,,-1025, $-   ,-1025, $-   ,498975,,
RVCOBB2014FH,12/31/15,,,,,,268764, $-   ,268764, $-   ,767739,,
RVCOBB2014FH,6/30/16,,,,,,52377, $-   ,52377, $-   ,820116,,
RVCOBB2014FH,12/31/16,,,,,,-304, $-   ,-304, $-   ,819812,,
OMRO012011,8/1/11,,,,,,,,,589875000,,OrbiMed Royalty Opportunities S.àr.l.,
OMRO012011,8/30/11,-14746875,,,,, $-   ,14746875,14746875,-14746875,,,
OMRO012011,11/15/11,-92610375,,,,, $-   ,92610375,92610375,-92610375,,,
OMRO012011,8/17/12,-51909000,,,,, $-   ,51909000,51909000,-51909000,,,
OMRO012011,5/31/13,-79633125,,,,, $-   ,79633125,79633125,-79633125,,,
OMRO012011,12/18/13,-109362825,,,,, $-   ,109362825,109362825,-109362825,,,
OMRO012011,3/27/14,-99099000,,,,, $-   ,99099000,99099000,-99099000,,,
OMRO012011,1/6/15,-142513800,,,,, $-   ,142513800,142513800,-142513800,,,
OMRO012011,5/11/12,8156181,,,,, $-   ,-8156181,-8156181, $-   ,,,
OMRO012011,9/26/12,6650226,,,,, $-   ,-6650226,-6650226, $-   ,,,
OMRO012011,3/28/13,10477843,,,,, $-   ,-10477843,-10477843, $-   ,,,
OMRO012011,6/27/13,10494040,,,,, $-   ,-10494040,-10494040, $-   ,,,
OMRO012011,9/24/13,28880337,,,,, $-   ,-28880337,-28880337, $-   ,,,
OMRO012011,12/20/13,9732087,,,,, $-   ,-9732087,-9732087, $-   ,,,
OMRO012011,3/28/14,11210645,,,,, $-   ,-11210645,-11210645, $-   ,,,
OMRO012011,6/27/14,10562258,,,,, $-   ,-10562258,-10562258, $-   ,,,
OMRO012011,9/26/14,12070019,,,,, $-   ,-12070019,-12070019, $-   ,,,
OMRO012011,12/18/14,14190123,,,,, $-   ,-14190123,-14190123, $-   ,,,
OMRO012011,6/25/15,17647059,,,,, $-   ,-17647059,-17647059, $-   ,,,
OMRO012011,9/28/15,33333333,,,,, $-   ,-33333333,-33333333, $-   ,,,
OMRO012011,12/17/15,11764706,,,,, $-   ,-11764706,-11764706, $-   ,,,
OMRO012011,3/22/16,13198409,,,,, $-   ,-13198409,-13198409, $-   ,,,
OMRO012011,6/27/16,11764706,,,,, $-   ,-11764706,-11764706, $-   ,,,
OMRO012011,7/15/16,96376160,,,,, $-   ,-96376160,-96376160, $-   ,,,
OMRO012011,9/22/16,1960784,,,,, $-   ,-1960784,-1960784, $-   ,,,
OMRO012011,12/19/16,3921569,,,,, $-   ,-3921569,-3921569, $-   ,,,
OMRO012011,3/31/17,5000000,,,,, $-   ,-5000000,-5000000, $-   ,,,
OMRO012011,6/28/17,7352941,,,,, $-   ,-7352941,-7352941, $-   ,,,
OMRO012011,9/27/17,2941176,,,,, $-   ,-2941176,-2941176, $-   ,,,
OMRO012011,9/30/17,,,,,,58049481, $-   ,58049481, $-   ,320239879,,
CSPE032015BG,5/1/16, $-   ,,,,,,,,1500000,,,
CSPE032015BG,5/9/16,-83769,,,,, $-   ,83769,83769,-83769,,DME True Up,
CSPE032015BG,5/9/16,-45000,-45000,,,, $-   , $-   , $-   ,-45000,,Mangement Fee True Up,
CSPE032015BG,5/9/16,-4327,-4327,,,, $-   , $-   , $-   ,-4327,,Organization Expenses True Up,
CSPE032015BG,5/9/16,-2596,-2596,,,, $-   , $-   , $-   ,-2596,,Operating Expenses True Up,
CSPE032015BG,5/9/16,-5850,-5850,,,, $-   , $-   , $-   ,-5850,,HST on Management Fees,
CSPE032015BG,6/19/16,-8475,-8475,,,, $-   , $-   , $-   ,-8475,,Contributions Q2,
CSPE032015BG,6/30/16,,,,,,6345, $-   ,6345, $-   ,90114,,
CSPE032015BG,9/19/16,-8475,-8475,,,, $-   , $-   , $-   ,-8475,,Contributions Q3,
CSPE032015BG,9/30/16,,,,,,-469, $-   ,-469, $-   ,89645,,
CSPE032015BG,10/17/16,-23347,,,,, $-   ,23347,23347,-23347,,Contributions Q4 DME,
CSPE032015BG,11/24/16,-208765,,,,, $-   ,208765,208765,-208765,,Contributions Q4 Demers,
CSPE032015BG,12/23/16,6486,,6486,6486,, $-   ,-6486,-6486,6486,,Return of Captial - Investment in Demers,
CSPE032015BG,12/23/16,66346,,66346,66346,, $-   ,-66346,-66346,66346,,Return of Capital - Bridge Financing,
CSPE032015BG,12/23/16,-7500,-7500,,,, $-   , $-   , $-   ,-7500,,Management Fee,
CSPE032015BG,12/23/16,-1154,-1154,,,, $-   , $-   , $-   ,-1154,,Operating Expenses,
CSPE032015BG,12/23/16,-975,-975,,,, $-   , $-   , $-   ,-975,,HST on Management Fees,
CSPE032015BG,12/31/16,,,,,,685, $-   ,685, $-   ,249610,,
CSPE032015BG,3/19/17,-8205,-8205,,,, $-   , $-   , $-   ,-8205,,Contributions Q1 - net,
CSPE032015BG,3/31/17,,,,,,193, $-   ,193, $-   ,249803,,
CSPE032015BG,6/19/17,-7895,-7895,,,, $-   , $-   , $-   ,-7895,,Contributions Q2 - net,
CSPE032015BG,6/30/17,,,,,,-10, $-   ,-10, $-   ,249793,,
CSPE032015BG,7/7/17,-213462,,,,, $-   ,213462,213462,-213462,,Contributions Q3 Telecon,
CSPE032015BG,9/17/17,-7435,-7435,,,, $-   , $-   , $-   ,-7435,,Contributions Q3 - net,
CSPE032015BG,9/30/17,,,,,,-329, $-   ,-329, $-   ,462926,,
CSPE032015BG,12/19/17,-8234,-8234,,,, $-   , $-   , $-   ,-8234,,Contributions Q4 - net,
CSPE032015BG,1/25/18,-92308,,,,, $-   ,92308,92308,-92308,,Contributions Q1 Demers,
CSPE032015BG,1/25/18,-7080,-7080,,,, $-   , $-   , $-   ,-7080,,Contributions Q1 - net,
CSPE032015AF,5/1/16, $-   ,,,,,,,,2780866,,0.79,Commitment
CSPE032015AF,5/9/16,-155301,,,,, $-   ,155301,155301,-155301,,,Contribution
CSPE032015AF,5/9/16,-83426,-83426,,,, $-   , $-   , $-   ,-83426,,,Contribution
CSPE032015AF,5/9/16,-8022,-8022,,,, $-   , $-   , $-   ,-8022,,,Contribution
CSPE032015AF,5/9/16,-4813,-4813,,,, $-   , $-   , $-   ,-4813,,,Contribution
CSPE032015AF,5/9/16,-10845,-10845,,,, $-   , $-   , $-   ,-10845,,,Contribution
CSPE032015AF,6/19/16,-15712,-15712,,,, $-   , $-   , $-   ,-15712,,,Contribution
CSPE032015AF,6/30/16,,,,,,11763, $-   ,11763, $-   ,167064,,NAV
CSPE032015AF,9/19/16,-15712,-15712,,,, $-   , $-   , $-   ,-15712,,,Contribution
CSPE032015AF,9/30/16,,,,,,-868, $-   ,-868, $-   ,166196,,NAV
CSPE032015AF,10/17/16,-43283,,,,, $-   ,43283,43283,-43283,,,Contribution
CSPE032015AF,11/24/16,-387032,,,,, $-   ,387032,387032,-387032,,,Contribution
CSPE032015AF,12/23/16,12025,,12025,12025,, $-   ,-12025,-12025,12025,,,Contribution
CSPE032015AF,12/23/16,123000,,123000,123000,, $-   ,-123000,-123000,123000,,,Contribution
CSPE032015AF,12/23/16,-13904,-13904,,,, $-   , $-   , $-   ,-13904,,,Contribution
CSPE032015AF,12/23/16,-2139,-2139,,,, $-   , $-   , $-   ,-2139,,,Contribution
CSPE032015AF,12/23/16,-1808,-1808,,,, $-   , $-   , $-   ,-1808,,,Contribution
CSPE032015AF,12/31/16,,,,,,1279, $-   ,1279, $-   ,462765,,NAV
CSPE032015AF,3/19/17,-15212,-15212,,,, $-   , $-   , $-   ,-15212,,,Contribution
CSPE032015AF,3/31/17,,,,,,350, $-   ,350, $-   ,463115,,NAV
CSPE032015AF,6/19/17,-14637,-14637,,,, $-   , $-   , $-   ,-14637,,,Contribution
CSPE032015AF,6/30/17,,,,,,-13, $-   ,-13, $-   ,463102,,NAV
CSPE032015AF,7/7/17,-395739,,,,, $-   ,395739,395739,-395739,,,Contribution
CSPE032015AF,9/17/17,-13783,-13783,,,, $-   , $-   , $-   ,-13783,,,Contribution
CSPE032015AF,9/30/17,,,,,,-609, $-   ,-609, $-   ,858233,,NAV
CSPE032015AF,12/19/17,-15266,-15266,,,, $-   , $-   , $-   ,-15266,,,Contribution
CSPE032015AF,12/31/17,,,,,,128867, $-   ,128867, $-   ,987099,,NAV
CSPE032015AF,1/25/18,-171130,,,,, $-   ,171130,171130,-171130,,,Contribution
CSPE032015AF,3/13/18,-13127,-13127,,,, $-   , $-   , $-   ,-13127,,,Contribution
CSPE032015AF,3/31/18,,,,,,299944, $-   ,299944, $-   ,1458174,,NAV
CSPE032015GB,5/1/16,,,,,,,,,3120000,,,0.78
CSPE032015GB,5/9/16,-174240,,,,, $-   ,174240,174240,-174240,,,DME True Up
CSPE032015GB,5/9/16,-93600,-93600,,,, $-   , $-   , $-   ,-93600,,,Management Fee True Up
CSPE032015GB,5/9/16,-9000,-9000,,,, $-   , $-   , $-   ,-9000,,,Organization Expenses True Up
CSPE032015GB,5/9/16,-5400,-5400,,,, $-   , $-   , $-   ,-5400,,,Operating Expenses True Up
CSPE032015GB,5/9/16,-12168,-12168,,,, $-   , $-   , $-   ,-12168,,,HST on Management Fees
CSPE032015GB,6/19/16,-17628,-17628,,,, $-   , $-   , $-   ,-17628,,,Contributions Q2
CSPE032015GB,6/30/16,,,,,,13199, $-   ,13199, $-   ,187439,,NAV
CSPE032015GB,9/19/16,-17628,-17628,,,, $-   , $-   , $-   ,-17628,,,Contributions Q3
CSPE032015GB,9/30/16,,,,,,-975, $-   ,-975, $-   ,186464,,NAV
CSPE032015GB,10/17/16,-48561,,,,, $-   ,48561,48561,-48561,,,Contributions Q4 DME
CSPE032015GB,11/24/16,-434232,,,,, $-   ,434232,434232,-434232,,,Contributions Q4 Demers
CSPE032015GB,12/23/16,13491,,13491,13491,, $-   ,-13491,-13491,13491,,,Return of Capital
CSPE032015GB,12/23/16,138000,,138000,138000,, $-   ,-138000,-138000,138000,,,Return of Capital
CSPE032015GB,12/23/16,-15600,-15600,,,, $-   , $-   , $-   ,-15600,,,Management Fee
CSPE032015GB,12/23/16,-2400,-2400,,,, $-   , $-   , $-   ,-2400,,,Operating Expenses
CSPE032015GB,12/23/16,-2028,-2028,,,, $-   , $-   , $-   ,-2028,,,HST on Management Fees
CSPE032015GB,12/31/16,,,,,,1434, $-   ,1434, $-   ,519199,,NAV
CSPE032015GB,3/19/17,-17067,-17067,,,, $-   , $-   , $-   ,-17067,,,Contributions Q1 - net
CSPE032015GB,3/31/17,,,,,,393, $-   ,393, $-   ,519592,,NAV
CSPE032015GB,6/19/17,-16422,-16422,,,, $-   , $-   , $-   ,-16422,,,Contributions Q2 - net
CSPE032015GB,6/30/17,,,,,,-14, $-   ,-14, $-   ,519578,,NAV
CSPE032015GB,7/7/17,-444000,,,,, $-   ,444000,444000,-444000,,,Contributions Q3 Telecon
CSPE032015GB,9/17/17,-15464,-15464,,,, $-   , $-   , $-   ,-15464,,,Contributions Q3 - net
CSPE032015GB,9/30/17,,,,,,-682, $-   ,-682, $-   ,962896,,NAV
CSPE032015GB,12/19/17,-17127,-17127,,,, $-   , $-   , $-   ,-17127,,,Contributions Q4 - net
CSPE032015GB,12/31/17,,,,,,144582, $-   ,144582, $-   ,1107478,,NAV
CSPE032015GB,1/25/18,-192000,,,,, $-   ,192000,192000,-192000,,,Contributions Q1 Demers
CSPE032015GB,1/25/18,-14727,-14727,,,, $-   , $-   , $-   ,-14727,,,Contributions Q1 - net
CSPE032015MS,5/1/16,,,,,,,,,6000000,,,
CSPE032015MS,5/9/16,-335077,,,,, $-   ,335077,335077,-335077,,,DME True Up
CSPE032015MS,5/9/16,-180000,-180000,,,, $-   , $-   , $-   ,-180000,,,Management Fee True Up
CSPE032015MS,5/9/16,-17308,-17308,,,, $-   , $-   , $-   ,-17308,,,Organization Expenses True Up
CSPE032015MS,5/9/16,-10385,-10385,,,, $-   , $-   , $-   ,-10385,,,Operating Expenses True Up
CSPE032015MS,5/9/16,-23400,-23400,,,, $-   , $-   , $-   ,-23400,,,HST on Management Fees
CSPE032015MS,6/19/16,-33900,-33900,,,, $-   , $-   , $-   ,-33900,,,Contributions Q2
CSPE032015MS,6/30/16,,,,,,25379, $-   ,25379, $-   ,360456,,
CSPE032015MS,9/19/16,-33900,-33900,,,, $-   , $-   , $-   ,-33900,,,Contributions Q3
CSPE032015MS,9/30/16,,,,,,-1874, $-   ,-1874, $-   ,358582,,
CSPE032015MS,10/17/16,-93386,,,,, $-   ,93386,93386,-93386,,,Contributions Q4 DME
CSPE032015MS,11/24/16,-835062,,,,, $-   ,835062,835062,-835062,,,Contributions Q4 Demers
CSPE032015MS,12/23/16,25944,,25944,25944,, $-   ,-25944,-25944,25944,,,Return of Capital - Investment in Demers
CSPE032015MS,12/23/16,265385,,265385,265385,, $-   ,-265385,-265385,265385,,,Return of Capital - Bridge Financing
CSPE032015MS,12/23/16,-30000,-30000,,,, $-   , $-   , $-   ,-30000,,,Management Fee
CSPE032015MS,12/23/16,-4615,-4615,,,, $-   , $-   , $-   ,-4615,,,Operating Expenses
CSPE032015MS,12/23/16,-3900,-3900,,,, $-   , $-   , $-   ,-3900,,,HST on Management Fees
CSPE032015MS,12/31/16,,,,,,2761, $-   ,2761, $-   ,998462,,
CSPE032015MS,3/19/17,-32822,-32822,,,, $-   , $-   , $-   ,-32822,,,Contributions Q1 - net
CSPE032015MS,3/31/17,,,,,,756, $-   ,756, $-   ,999218,,
CSPE032015MS,6/19/17,-31581,-31581,,,, $-   , $-   , $-   ,-31581,,,Contributions Q2 - net
CSPE032015MS,6/30/17,,,,,,-29, $-   ,-29, $-   ,999189,,
CSPE032015MS,7/7/17,-853846,,,,, $-   ,853846,853846,-853846,,,Contributions Q3 Telecon
CSPE032015MS,9/17/17,-29739,-29739,,,, $-   , $-   , $-   ,-29739,,,Contributions Q3 - net
CSPE032015MS,9/30/17,,,,,,-1312, $-   ,-1312, $-   ,1851723,,
CSPE032015MS,12/19/17,-32937,-32937,,,, $-   , $-   , $-   ,-32937,,,Contributions Q4 - net
CSPE032015MS,1/25/18,-369231,,,,, $-   ,369231,369231,-369231,,,Contributions Q1 Demers
CSPE032015MS,1/25/18,-28322,-28322,,,, $-   , $-   , $-   ,-28322,,,Contributions Q1 - net
NHPE012013BG,7/1/13, $-   ,,,,,,,,1800000,,,
NHPE012013BG,7/15/13,-17503,-17503,,,, $-   , $-   , $-   ,-17503,,,PF to Account For Transfer to Whit
NHPE012013BG,9/30/13,,,,,, $-   , $-   , $-   , $-   ,,,PF to Account For Transfer to Whit
NHPE012013BG,10/1/13,-9000,-9000,,,, $-   , $-   , $-   ,-9000,,,PF to Account For Transfer to Whit
NHPE012013BG,1/6/14,-9000,-9000,,,, $-   , $-   , $-   ,-9000,,,PF to Account For Transfer to Whit
NHPE012013BG,4/14/14,-9000,-9000,,,, $-   , $-   , $-   ,-9000,,,PF to Account For Transfer to Whit
NHPE012013BG,5/20/14,-192417,,,,, $-   ,192417,192417,-192417,,,PF to Account For Transfer to Whit
NHPE012013BG,7/25/14,-16345,-16345,,,, $-   , $-   , $-   ,-16345,,,PF to Account For Transfer to Whit
NHPE012013BG,7/25/14,7253,,7253,7253,, $-   ,-7253,-7253,7253,,,PF to Account For Transfer to Whit
NHPE012013BG,9/30/14,14722,,19892,,, $-   ,-14722,-14722, $-   ,,,Plug to Reconcile 1st CAP Statement After Transfer of $200k commitment to Whit
NHPE012013BG,9/30/14,,,,,,-6138, $-   ,-6138, $-   ,179026,,NAV
NHPE012013BG,10/6/14,-10000,-10000,,,, $-   , $-   , $-   ,-10000,,,
NHPE012013BG,12/31/14,,,,,,13709, $-   ,13709, $-   ,178013,,"241,290"
NHPE012013BG,1/6/15,-9266,-9266,,,, $-   , $-   , $-   ,-9266,,,
NHPE012013BG,3/31/15,,,,,,442, $-   ,442, $-   ,178455,,"250,556"
NHPE012013BG,4/6/15,-9243,-9243,,,, $-   , $-   , $-   ,-9243,,,
NHPE012013BG,6/30/15,,,,,,298, $-   ,298, $-   ,178753,,"259,798"
NHPE012013BG,7/6/15,-8855,-8855,,,, $-   , $-   , $-   ,-8855,,,
NHPE012013BG,9/30/15,,,,,,-85, $-   ,-85, $-   ,178668,,"268,653"
NHPE012013BG,10/6/15,-9049,-9049,,,, $-   , $-   , $-   ,-9049,,,
NHPE012013BG,12/31/15,,,,,,-26957, $-   ,-26957, $-   ,151711,,"277,701"
NHPE012013BG,1/6/16,-9340,-9340,,,, $-   , $-   , $-   ,-9340,,,
NHPE012013BG,3/31/16,,,,,,478, $-   ,478, $-   ,152189,,"287,041"
NHPE012013BG,4/7/16,-9340,-9340,,,, $-   , $-   , $-   ,-9340,,,
NHPE012013BG,6/30/16,,,,,,-29470, $-   ,-29470, $-   ,122719,,"296,380"
NHPE012013BG,7/7/16,-9146,-9146,,,, $-   , $-   , $-   ,-9146,,,
NHPE012013BG,9/30/16,,,,,,-55889, $-   ,-55889, $-   ,66830,,"305,525"
NHPE012013BG,10/5/16,-247557,,,,, $-   ,247557,247557,-247557,,,
NHPE012013BG,10/12/16,-5663,-5663,,,, $-   , $-   , $-   ,-5663,,,
NHPE012013BG,12/31/16,,,,,,126804, $-   ,126804, $-   ,441191,,"558,745"
NHPE012013BG,1/6/17,-9534,-9534,,,, $-   , $-   , $-   ,-9534,,,
NHPE012013BG,2/1/17,-297222,-775,,,, $-   ,296447,296447,-297222,,,
NHPE012013BG,3/31/17,,,,,,-4313, $-   ,-4313, $-   ,733325,,"865,501"
NHPE012013BG,6/30/17,,,,,,-9751, $-   ,-9751, $-   ,723574,,"865,501"
NHPE012013BG,7/7/17,-6219,-6219,,,, $-   , $-   , $-   ,-6219,,,
NHPE012013BG,9/30/17,,,,,,10908, $-   ,10908, $-   ,734482,,"871,720"
NHPE012013BG,10/10/17,-9364,-9364,,,, $-   , $-   , $-   ,-9364,,,
NHPE012013BG,1/8/18,-9557,-9557,,,, $-   , $-   , $-   ,-9557,,,
NHPE012013BG,2/14/18,-301426,-969,,,, $-   ,300457,300457,-301426,,,
LHGP012015BG,4/1/15,,,,,,,,,1300000,,,
LHGP012015BG,4/30/15,-163188,,,,, $-   ,163188,163188,-163188,,,Portfolio investments and operating expenses called
LHGP012015BG,4/30/15,-35750,-35750,,,, $-   , $-   , $-   ,-35750,,,Management fees called (5 _ quarters)
LHGP012015BG,4/30/15,74218,,,,, $-   ,-74218,-74218, $-   ,,,Distribution
LHGP012015BG,6/9/15,-49809,,,,, $-   ,49809,49809,-49809,,,Repayment of capital call loan and operating expenses
LHGP012015BG,6/9/15,-6500,-6500,,,, $-   , $-   , $-   ,-6500,,,Management fees
LHGP012015BG,9/17/15,-61459,,,,, $-   ,61459,61459,-61459,,,Current investments (Revelation TWHV and DFM)
LHGP012015BG,9/17/15,-14011,,,,, $-   ,14011,14011,-14011,,,Line of credit and operating expenses
LHGP012015BG,9/17/15,-4199,-4199,,,, $-   , $-   , $-   ,-4199,,,Q4 Management fee
LHGP012015BG,12/4/15,-84111,,,,, $-   ,84111,84111,-84111,,,Investments and operations
LHGP012015BG,12/4/15,-4204,-4204,,,, $-   , $-   , $-   ,-4204,,,Q1 Management fee
LHGP012015BG,12/4/15,2149,,,,, $-   ,-2149,-2149, $-   ,,,Distribution
LHGP012015BG,12/29/15,-12609,,,,, $-   ,12609,12609,-12609,,,MDV - iRhythm
LHGP012015BG,12/29/15,12609,,,,, $-   ,-12609,-12609, $-   ,,,Distribution
LHGP012015BG,12/31/15,,,,,,171011, $-   ,171011, $-   ,467221,,NAV
LHGP012015BG,2/2/16,83541,,,,, $-   ,-83541,-83541, $-   ,,,Distribution
LHGP012015BG,2/2/16,-14889,,,,, $-   ,14889,14889,-14889,,,Investment
LHGP012015BG,2/2/16,-571,-571,,,, $-   , $-   , $-   ,-571,,,Limited Partner’s Waived Fee                                                                                                                                                                                                                                                          Obligation
LHGP012015BG,3/30/16,,,,,,-7433, $-   ,-7433, $-   ,391137,,NAV
LHGP012015BG,6/2/16,-54105,,,,, $-   ,54105,54105,-54105,,,Investments
LHGP012015BG,6/2/16,-1169,-1169,,,, $-   , $-   , $-   ,-1169,,,Management Fee Applied to Fee Waiver
